" TCONST                                    ","DIRECTORS ","PRIMARYTITLE  ","ORIGINALTITLE","STARTYEAR","GENRES"
"tt0031564","nm0739677,nm0036881,nm0799575","Lenin in 1918","Lenin v 1918 godu","1939","Drama"
"tt0031585","nm0275494","La loi du nord","La loi du nord","1939","Adventure,Drama"
"tt0031604","nm0282984","The Magnificent Fraud","The Magnificent Fraud","1939","Drama"
"tt0031617","nm0272059","The Man from Dakota","The Man from Dakota","1940","Drama,History,War"
"tt0031629","nm0273203","La marquesona","La marquesona","1939",NULL
"tt0031634","nm0072872","Me and My Pal","Me and My Pal","1939","Comedy"
"tt0031672","nm0782393","Motel the Operator","Motel the Operator","1940","Drama"
"tt0031697","nm0782393","My Son","My Son","1939","Drama"
"tt0031703","nm0905729","Mystery Plane","Mystery Plane","1939","Adventure,Crime,Romance"
"tt0031750","nm0332539","The Old Maid","The Old Maid","1939","Drama"
"tt0031769","nm0627864","Outlaws' Paradise","Outlaws' Paradise","1939","Western"
"tt0031825","nm0809467","Private Detective","Private Detective","1939","Action,Adventure,Comedy"
"tt0031867","nm0909825","The Roaring Twenties","The Roaring Twenties","1939","Action,Crime,Drama"
"tt0031878","nm0024155,nm0001120","Rose scarlatte","Rose scarlatte","1940","Comedy"
"tt0031886","nm0041678","S.O.S. Tidal Wave","S.O.S. Tidal Wave","1939","Crime,Sci-Fi"
"tt0031921","nm0758508","She Married a Cop","She Married a Cop","1939","Comedy"
"tt0031929","nm0627864","Six-Gun Rhythm","Six-Gun Rhythm","1939","Western"
"tt0031963","nm0170973","Spoilers of the Range","Spoilers of the Range","1939","Action,Music,Western"
"tt0032061","nm0099592","Design for Murder","Trunk Crime","1939","Drama,Mystery,Thriller"
"tt0032101","nm0744023","Lively Teresa","La vispa Teresa","1939","Short"
"tt0032117","nm0003593","Weather Wizards","Weather Wizards","1939","Short"
"tt0032126","nm0003593","While America Sleeps","While America Sleeps","1939","Crime,Short"
"tt0032149","nm0445033","Yes, My Darling Daughter","Yes, My Darling Daughter","1939","Comedy,Romance"
"tt0032204","nm0549893","Amore di ussaro","Amore di ussaro","1940",NULL
"tt0032250","nm0487870,nm0586263","Un bigote para dos","Un bigote para dos","1940","Comedy"
"tt0032253","nm0627864","Billy the Kid in Texas","Billy the Kid in Texas","1940","Comedy,Western"
